suburb a;suburb b
Manning;Orelia
Marangaroo;Osborne Park
Mardella;Padbury
Mariginiup;Palmyra
Marmion;Parkerville
Martin;Parkwood
Maylands;Parmelia
Medina;Paulls Valley
Melville;Pearsall
Menora;Peppermint Grove
Merriwa;Peron
Middle Swan;Perth (CBD)
Midland;Perth Airport
Midvale;Piara Waters
Millendon;Pickering Brook
Mindarie;Piesse Brook
Mirrabooka;Pinjar
Morley;Port Kennedy
Mosman Park;Postans
Mount Claremont;Queens Park
Mount Hawthorn;Quinns Rocks
Mount Helena;Redcliffe
Mount Lawley;Reservoir
Mount Nasura;Ridgewood
Mount Pleasant;Riverton
Mount Richon;Rivervale
Mullaloo;Rockingham
Mundaring;Rockingham Beach
Mundijong;Roleystone
Munster;Rossmoyne
Murdoch;Rottnest Island
Myaree;Safety Bay
Naval Base;Salter Point
Nedlands;Samson
Neerabup;Sawyers Valley
Nollamara;Scarborough
Noranda;Secret Harbour
North Beach;Serpentine
North Coogee;Seville Grove
North Fremantle;Shelley
North Lake;Shenton Park
North Perth;Shoalwater
Northbridge;Sinagra
Nowergup;Singleton
Oakford;Sorrento
Ocean Reef;South Fremantle
O'Connor;South Guildford
Oldbury;South Lake
Orange Grove;South Perth
;Southern River
